Rozmiar,Metoda,Operacja,Przypadek,Czas_ns
20000,sondowanie_liniowe,szukanie,sredni,43
20000,sondowanie_liniowe,szukanie,pesymistyczny,115
20000,sondowanie_liniowe,usuwanie,optymistyczny,96
20000,sondowanie_liniowe,usuwanie,sredni,96
20000,sondowanie_liniowe,usuwanie,pesymistyczny,167
20000,lancuchowanie,dodawanie,optymistyczny,539
20000,lancuchowanie,dodawanie,sredni,460
20000,lancuchowanie,dodawanie,pesymistyczny,836
20000,lancuchowanie,szukanie,optymistyczny,234
20000,lancuchowanie,szukanie,sredni,127
20000,lancuchowanie,szukanie,pesymistyczny,151
20000,lancuchowanie,usuwanie,optymistyczny,442
20000,lancuchowanie,usuwanie,sredni,290
20000,lancuchowanie,usuwanie,pesymistyczny,307
20000,robin_hood,dodawanie,optymistyczny,79
20000,robin_hood,dodawanie,sredni,77
20000,robin_hood,dodawanie,pesymistyczny,270
20000,robin_hood,szukanie,optymistyczny,52
20000,robin_hood,szukanie,sredni,61
20000,robin_hood,szukanie,pesymistyczny,90
20000,robin_hood,usuwanie,optymistyczny,107
20000,robin_hood,usuwanie,sredni,111
20000,robin_hood,usuwanie,pesymistyczny,123
20000,sondowanie_kwadratowe,dodawanie,optymistyczny,82
20000,sondowanie_kwadratowe,dodawanie,sredni,81
20000,sondowanie_kwadratowe,dodawanie,pesymistyczny,105
20000,sondowanie_kwadratowe,szukanie,optymistyczny,53
20000,sondowanie_kwadratowe,szukanie,sredni,45
20000,sondowanie_kwadratowe,szukanie,pesymistyczny,107
20000,sondowanie_kwadratowe,usuwanie,optymistyczny,84
20000,sondowanie_kwadratowe,usuwanie,sredni,79
20000,sondowanie_kwadratowe,usuwanie,pesymistyczny,152
50000,sondowanie_liniowe,dodawanie,optymistyczny,72
50000,sondowanie_liniowe,dodawanie,sredni,75
50000,sondowanie_liniowe,dodawanie,pesymistyczny,82
50000,sondowanie_liniowe,szukanie,optymistyczny,58
50000,sondowanie_liniowe,szukanie,sredni,51
50000,sondowanie_liniowe,szukanie,pesymistyczny,50
50000,sondowanie_liniowe,usuwanie,optymistyczny,83
50000,sondowanie_liniowe,usuwanie,sredni,88
50000,sondowanie_liniowe,usuwanie,pesymistyczny,78
50000,lancuchowanie,dodawanie,optymistyczny,1394
50000,lancuchowanie,dodawanie,sredni,1146
50000,lancuchowanie,dodawanie,pesymistyczny,1180
50000,lancuchowanie,szukanie,optymistyczny,690
50000,lancuchowanie,szukanie,sredni,278
50000,lancuchowanie,szukanie,pesymistyczny,124
50000,lancuchowanie,usuwanie,optymistyczny,649
50000,lancuchowanie,usuwanie,sredni,526
50000,lancuchowanie,usuwanie,pesymistyczny,545
50000,robin_hood,dodawanie,optymistyczny,80
50000,robin_hood,dodawanie,sredni,70
50000,robin_hood,dodawanie,pesymistyczny,83
50000,robin_hood,szukanie,optymistyczny,48
50000,robin_hood,szukanie,sredni,46
50000,robin_hood,szukanie,pesymistyczny,43
50000,robin_hood,usuwanie,optymistyczny,75
50000,robin_hood,usuwanie,sredni,77
50000,robin_hood,usuwanie,pesymistyczny,77
50000,sondowanie_kwadratowe,dodawanie,optymistyczny,97
50000,sondowanie_kwadratowe,dodawanie,sredni,102
50000,sondowanie_kwadratowe,dodawanie,pesymistyczny,101
50000,sondowanie_kwadratowe,szukanie,optymistyczny,52
50000,sondowanie_kwadratowe,szukanie,sredni,44
50000,sondowanie_kwadratowe,szukanie,pesymistyczny,43
50000,sondowanie_kwadratowe,usuwanie,optymistyczny,103
50000,sondowanie_kwadratowe,usuwanie,sredni,99
